angle, distance, x, y
263.687500, 2.050000, -0.225400, -2.037571
266.062500, 2.020000, -0.138710, -2.015232
268.625000, 1.980000, -0.047512, -1.979430
271.187500, 1.950000, 0.040412, -1.949581
273.750000, 1.930000, 0.126228, -1.925868
276.125000, 1.910000, 0.203793, -1.899097
278.687500, 1.890000, 0.285475, -1.868316
281.250000, 1.870000, 0.364819, -1.834068
283.812500, 1.860000, 0.444066, -1.806213
286.562500, 1.870000, 0.533064, -1.792412
288.750000, 1.850000, 0.594663, -1.751821
291.000000, 1.830000, 0.655813, -1.708452
293.562500, 1.850000, 0.739536, -1.695755
296.125000, 1.840000, 0.810209, -1.652017
298.687500, 1.860000, 0.892860, -1.631687
301.375000, 1.880000, 0.978798, -1.605103
303.937500, 1.900000, 1.060748, -1.576329
316.750000, 0.010000, 0.007284, -0.006852
329.562500, 0.090000, 0.077596, -0.045594
342.375000, 0.150000, 0.142959, -0.045418
351.937500, 0.190000, 0.188122, -0.026648
4.000000, 0.240000, 0.239415, 0.016742
16.625000, 0.090000, 0.086238, 0.025750
29.062500, 0.170000, 0.148595, 0.082580
32.375000, 0.040000, 0.033782, 0.021418
41.875000, 0.180000, 0.134029, 0.120151
44.437500, 0.140000, 0.099962, 0.098018
46.812500, 0.150000, 0.102658, 0.109368
49.375000, 0.130000, 0.084644, 0.098668
51.937500, 0.080000, 0.049322, 0.062987
54.500000, 0.100000, 0.058070, 0.081412
57.062500, 0.170000, 0.092433, 0.142675
69.500000, 0.100000, 0.035021, 0.093667
81.937500, 0.300000, 0.042076, 0.297035
94.562500, 0.010000, -0.000795, 0.009968
107.187500, 0.010000, -0.002955, 0.009553
119.687500, 0.010000, -0.004953, 0.008687
132.500000, 0.010000, -0.006756, 0.007373
145.125000, 0.010000, -0.008204, 0.005718
157.937500, 0.010000, -0.009268, 0.003756
170.562500, 0.010000, -0.009865, 0.001640
182.812500, 1.670000, -1.667988, -0.081943
185.375000, 1.740000, -1.732349, -0.162993
187.937500, 1.710000, -1.693617, -0.236139
190.500000, 1.710000, -1.681366, -0.311623
193.250000, 1.690000, -1.645011, -0.387349
206.062500, 2.180000, -1.958327, -0.957786
215.562500, 0.620000, -0.504359, -0.360586
219.937500, 7.710000, -5.911605, -4.949447
25.437500, 0.590000, 0.532802, 0.253421
34.000000, 3.650000, 3.025987, 2.041054
36.562500, 3.230000, 2.594360, 1.924109
281.062500, 2.810000, 0.539182, -2.757786
333.437500, 1.870000, 1.672616, -0.836215
4.375000, 0.250000, 0.249272, 0.019071
7.812500, 0.140000, 0.138701, 0.019030
11.312500, 0.130000, 0.127474, 0.025501
20.312500, 0.170000, 0.159428, 0.059014
1.062500, 0.170000, 0.169971, 0.003152
3.625000, 0.150000, 0.149700, 0.009484
6.375000, 0.170000, 0.168949, 0.018876
8.750000, 0.120000, 0.118603, 0.018255
10.937500, 0.140000, 0.137457, 0.026563
13.500000, 0.120000, 0.116684, 0.028013
25.937500, 0.200000, 0.179854, 0.087478
38.562500, 0.170000, 0.132928, 0.105973
51.375000, 0.010000, 0.006242, 0.007812
64.000000, 0.010000, 0.004384, 0.008988
75.937500, 0.010000, 0.002430, 0.009700
88.562500, 0.010000, 0.000251, 0.009997
101.187500, 0.010000, -0.001940, 0.009810
114.000000, 0.010000, -0.004067, 0.009135
